[2026-05-14T03:08:11.786Z] BLOCK redacted | prompt_injection | bash | REDACTED injection: Instruction override | matched: "ignore previous instructions"
[2026-05-14T03:08:11.786Z] BLOCK redacted | prompt_injection | bash | REDACTED injection: Instruction override | matched: "ignore prior instructions"
[2026-05-14T03:08:11.786Z] BLOCK redacted | prompt_injection | bash | REDACTED injection: System prompt injection | matched: "new system prompt"
[2026-05-14T03:08:19.153Z] BLOCK redacted | prompt_injection | bash | REDACTED injection: Instruction override | matched: "ignore previous instructions"
[2026-05-14T03:08:19.153Z] BLOCK redacted | prompt_injection | bash | REDACTED injection: Instruction override | matched: "ignore prior instructions"
[2026-05-14T03:08:19.153Z] BLOCK redacted | prompt_injection | bash | REDACTED injection: System prompt injection | matched: "new system prompt"
[2026-05-14T03:08:33.531Z] BLOCK redacted | prompt_injection | bash | REDACTED injection: Instruction override | matched: "ignore previous instructions"
[2026-05-14T03:08:33.531Z] BLOCK redacted | prompt_injection | bash | REDACTED injection: Instruction override | matched: "ignore prior instructions"
[2026-05-14T03:08:33.531Z] BLOCK redacted | prompt_injection | bash | REDACTED injection: System prompt injection | matched: "new system prompt"
[2026-05-14T03:08:44.606Z] BLOCK redacted | prompt_injection | bash | REDACTED injection: Instruction override | matched: "ignore previous instructions"
[2026-05-14T03:08:44.606Z] BLOCK redacted | prompt_injection | bash | REDACTED injection: Instruction override | matched: "ignore prior instructions"
[2026-05-14T03:08:44.606Z] BLOCK redacted | prompt_injection | bash | REDACTED injection: System prompt injection | matched: "new system prompt"
[2026-05-14T03:08:50.142Z] BLOCK redacted | prompt_injection | bash | REDACTED injection: Instruction override | matched: "ignore previous instructions"
[2026-05-14T03:08:50.142Z] BLOCK redacted | prompt_injection | bash | REDACTED injection: Instruction override | matched: "ignore prior instructions"
[2026-05-14T03:08:50.142Z] BLOCK redacted | prompt_injection | bash | REDACTED injection: System prompt injection | matched: "new system prompt"
[2026-05-14T03:08:57.586Z] BLOCK redacted | prompt_injection | bash | REDACTED injection: Instruction override | matched: "ignore previous instructions"
[2026-05-14T03:08:57.586Z] BLOCK redacted | prompt_injection | bash | REDACTED injection: Instruction override | matched: "ignore prior instructions"
[2026-05-14T03:08:57.586Z] BLOCK redacted | prompt_injection | bash | REDACTED injection: System prompt injection | matched: "new system prompt"
[2026-05-14T03:09:10.236Z] BLOCK redacted | prompt_injection | bash | REDACTED injection: Instruction override | matched: "ignore previous instructions"
[2026-05-14T03:09:10.236Z] BLOCK redacted | prompt_injection | bash | REDACTED injection: Instruction override | matched: "ignore prior instructions"
[2026-05-14T03:09:10.236Z] BLOCK redacted | prompt_injection | bash | REDACTED injection: System prompt injection | matched: "new system prompt"
[2026-05-14T03:09:16.861Z] BLOCK redacted | prompt_injection | bash | REDACTED injection: Instruction override | matched: "ignore previous instructions"
[2026-05-14T03:09:16.862Z] BLOCK redacted | prompt_injection | bash | REDACTED injection: Instruction override | matched: "ignore prior instructions"
[2026-05-14T03:09:16.862Z] BLOCK redacted | prompt_injection | bash | REDACTED injection: System prompt injection | matched: "new system prompt"
[2026-05-14T03:09:23.229Z] BLOCK redacted | prompt_injection | bash | REDACTED injection: Instruction override | matched: "ignore previous instructions"
[2026-05-14T03:09:23.229Z] BLOCK redacted | prompt_injection | bash | REDACTED injection: Instruction override | matched: "ignore prior instructions"
[2026-05-14T03:09:23.229Z] BLOCK redacted | prompt_injection | bash | REDACTED injection: System prompt injection | matched: "new system prompt"
[2026-05-14T03:09:35.197Z] BLOCK redacted | prompt_injection | bash | REDACTED injection: Instruction override | matched: "ignore previous instructions"
[2026-05-14T03:09:35.197Z] BLOCK redacted | prompt_injection | bash | REDACTED injection: Instruction override | matched: "ignore prior instructions"
[2026-05-14T03:09:35.197Z] BLOCK redacted | prompt_injection | bash | REDACTED injection: System prompt injection | matched: "new system prompt"
[2026-05-14T03:09:44.025Z] BLOCK redacted | prompt_injection | bash | REDACTED injection: Instruction override | matched: "ignore previous instructions"
[2026-05-14T03:09:44.025Z] BLOCK redacted | prompt_injection | bash | REDACTED injection: Instruction override | matched: "ignore prior instructions"
[2026-05-14T03:09:44.025Z] BLOCK redacted | prompt_injection | bash | REDACTED injection: System prompt injection | matched: "new system prompt"
[2026-05-14T03:10:01.575Z] BLOCK redacted | prompt_injection | bash | REDACTED injection: Instruction override | matched: "ignore previous instructions"
[2026-05-14T03:10:01.575Z] BLOCK redacted | prompt_injection | bash | REDACTED injection: Instruction override | matched: "ignore prior instructions"
[2026-05-14T03:10:01.575Z] BLOCK redacted | prompt_injection | bash | REDACTED injection: System prompt injection | matched: "new system prompt"
[2026-05-14T03:10:14.886Z] BLOCK redacted | prompt_injection | bash | REDACTED injection: Instruction override | matched: "ignore previous instructions"
